date,id,title,countries,keywords,languages,outlets
2020-09-08,https://euvsdisinfo.eu/report/george-soros-funds-murderers-and-glorifies-them/,George Soros funds murderers and glorifies them,Armenia,Conspiracy+George Soros,Armenian,
2020-09-08,https://euvsdisinfo.eu/report/the-united-states-is-behind-the-protests-in-belarus/,The United States is behind the protests in Belarus,Czech Republic+Belarus+US+Poland,Protest+US presence in Europe+Conspiracy,Armenian,
2020-09-08,https://euvsdisinfo.eu/report/pending-check-navalny-was-not-poisoned-by-novichok-would-have-died-before-transported-to-germany/,Navalny was not poisoned by novichok; he would have died before going to Germany,Russia+Germany,Alexei Navalny,German,
2020-09-08,https://euvsdisinfo.eu/report/with-navalny-poisoning-the-usa-sends-a-message-buy-our-lng-instead-of-the-russian-gas-because-we-kill-only-black-people/,"US sends a message with Navalny poisoning: buy our LNG, because we kill “only” black people",Russia+US+Germany,US racial justice protests+Conspiracy theory+novichok+yellow vests+gas+Nord Stream 2+Racism+Alexei Navalny+Angela Merkel,Polish,
2020-09-08,https://euvsdisinfo.eu/report/navalny-was-not-poisoned-with-novichok-2/,Navalny was not poisoned with Novichok,Russia+Germany+Sweden+France,novichok+Alexei Navalny,Czech,
2020-09-08,https://euvsdisinfo.eu/report/us-dirty-war-facebook-venezuela-bolivia-mexico-new-condor-plan/,"US dirty war in Facebook against Venezuela, Bolivia and Mexico is a new Condor Plan",Bolivia+Mexico+Venezuela+US,Nicolas Maduro+Facebook+Coup,Spanish+Castilian,
2020-09-07,https://euvsdisinfo.eu/report/navalny-novichok-secret-services/,Navalny was not poisoned by novichok and Russian secret services are not involved,Russia,Skripal+novichok+GRU+Amesbury poisoning+Sergei Skripal+Alexei Navalny,French+English+Russian+Serbian+German+Spanish+Castilian,
2020-09-07,https://euvsdisinfo.eu/report/navalnys-poisoning-story-is-a-manifestation-of-the-internal-political-struggle-in-germany/,Navalny's poisoning story is a manifestation of the internal political struggle in Germany,Germany,Nord Stream 2+Alexei Navalny+Conspiracy,Russian,
2020-09-07,https://euvsdisinfo.eu/report/alexei-navalny-originally-an-anti-russian-project-was-poisoned-by-his-sponsors/,"Alexei Navalny, originally an anti-Russian project, was poisoned by his sponsors",Russia,Conspiracy theory+Alexei Navalny+Conspiracy,Russian,
2020-09-07,https://euvsdisinfo.eu/report/integration-of-donbas-with-rostov-region-is-historically-predetermined/,Integration of Donbas with Rostov Region is historically predetermined,Russia+Ukraine,Ukraine+Eastern Ukraine+Ukrainian disintegration+War in Ukraine+Donbas,Russian,
2020-09-07,https://euvsdisinfo.eu/report/soros-did-not-spare-money-to-turn-the-situation-in-post-soviet-countries-into-chaos/,Soros did not spare any resources to cause chaos in post-Soviet countries,Kirgizstan+Armenia+Ukraine+Belarus+Georgia,Anti-Russian+Colour revolutions+Conspiracy+George Soros,Armenian,
2020-09-07,https://euvsdisinfo.eu/report/if-navalny-exited-coma-he-was-not-poisoned-with-novichok/,"If Navalny came out of the coma, he was not poisoned with Novichok",Russia+Germany,Skripal+novichok+Amesbury poisoning+Chemical weapons/attack+Alexei Navalny,Greek+English,
2020-09-07,https://euvsdisinfo.eu/report/98-of-french-media-are-conspiracy-prone-because-their-russophobia/,98% of French media are conspiracy-prone because of their Russophobia,Russia+US+France,election meddling+Mainstream media+Anti-Russian+Donald Trump+Russophobia,French,
2020-09-07,https://euvsdisinfo.eu/report/belarus-is-only-a-step-away-from-carnival-to-civil-war/,From carnival to civil war: Belarus is only a step away,Belarus,election meddling+Protest+Civil war+Colour revolutions,English+Russian,
2020-09-07,https://euvsdisinfo.eu/report/the-un-admits-that-crimea-is-russian/,The UN admits that Crimea is Russian,Russia+Ukraine,United Nations+illegal annexation+Crimea,Russian,
2020-09-07,https://euvsdisinfo.eu/report/ukraine-is-responsible-for-providing-crimeans-with-drinking-water-un/,"According to UN, Ukraine is responsible for providing Crimeans with drinking water",Russia+Ukraine,United Nations+illegal annexation+Crimea,Russian,
2020-09-07,https://euvsdisinfo.eu/report/who-benefits-from-poisoning-navalny/,Who benefits from poisoning Navalny?,Russia+US,Conspiracy theory+novichok+Alexei Navalny,English,
2020-09-07,https://euvsdisinfo.eu/report/navalny-poisoning-could-be-a-strategy-of-the-west-to-introduce-anti-russian-sanctions/,Navalny poisoning could be a strategy of the West to introduce anti-Russian sanctions,Russia+Germany,Nord Stream 2+Alexei Navalny,German,
2020-09-07,https://euvsdisinfo.eu/report/us-is-transferring-biological-labs-in-other-countries-as-they-are-dangerous/,The US is working on a biological weapon in Georgia,US+Georgia,Lugar Laboratory+Biological weapons,Russian,
2020-09-07,https://euvsdisinfo.eu/report/2008-august-war-is-an-example-of-how-nato-poses-threat-to-peace-with-its-military-excercises/,2008 August War is an example of how NATO poses threat to peace with its military excercises,Georgian region of South Ossetia+Georgian region of Abkhazia+Russia+Georgia,Military exercise+Russo-Georgian War+NATO,Russian,
